행정기관코드,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,대전광역시,동구,중앙동,3630,2062,1568,24,36,60,42,45,87,111,93,204,171,109,280,226,111,337,432,200,632,1056,974,2030
3011053000,대전광역시,동구,효동,24869,12177,12692,982,955,1937,1699,1575,3274,1287,1119,2406,1390,1367,2757,2155,2337,4492,2090,2051,4141,2574,3288,5862
3011054500,대전광역시,동구,신인동,14828,7249,7579,613,571,1184,602,460,1062,673,643,1316,1158,1132,2290,1100,1027,2127,1132,1202,2334,1971,2544,4515
3011055100,대전광역시,동구,판암1동,11876,5731,6145,313,268,581,427,394,821,631,576,1207,683,609,1292,759,727,1486,1002,1080,2082,1916,2491,4407
3011055200,대전광역시,동구,판암2동,7829,3766,4063,85,78,163,158,153,311,292,264,556,377,279,656,450,320,770,676,594,1270,1728,2375,4103
3011056000,대전광역시,동구,용운동,21134,10675,10459,731,679,1410,834,849,1683,1689,1509,3198,1492,1288,2780,1471,1353,2824,1802,1733,3535,2656,3048,5704
3011058500,대전광역시,동구,대동,13741,6881,6860,522,462,984,764,706,1470,762,660,1422,777,747,1524,1106,1064,2170,1174,1120,2294,1776,2101,3877
3011059000,대전광역시,동구,자양동,10901,5822,5079,128,133,261,378,453,831,1811,1380,3191,592,384,976,617,428,1045,838,650,1488,1458,1651,3109
3011062000,대전광역시,동구,가양1동,12724,6647,6077,241,259,500,519,493,1012,1025,748,1773,677,524,1201,903,769,1672,1205,970,2175,2077,2314,4391
3011063000,대전광역시,동구,가양2동,18647,9333,9314,401,334,735,797,776,1573,1516,1508,3024,1136,852,1988,1242,1174,2416,1669,1597,3266,2572,3073,5645
3011064000,대전광역시,동구,용전동,19995,10261,9734,383,371,754,675,653,1328,1906,1928,3834,1663,1218,2881,1495,1282,2777,1741,1543,3284,2398,2739,5137
3011066500,대전광역시,동구,성남동,10790,5317,5473,335,286,621,379,387,766,558,502,1060,607,537,1144,765,729,1494,965,889,1854,1708,2143,3851
3011067000,대전광역시,동구,홍도동,11078,5684,5394,238,202,440,375,332,707,1079,1033,2112,807,579,1386,758,587,1345,964,876,1840,1463,1785,3248
3011069500,대전광역시,동구,삼성동,13402,6778,6624,330,289,619,530,499,1029,684,553,1237,707,636,1343,950,825,1775,1254,1098,2352,2323,2724,5047
3011072500,대전광역시,동구,대청동,2176,1140,1036,18,16,34,42,56,98,89,60,149,78,41,119,101,68,169,229,161,390,583,634,1217
3011074000,대전광역시,동구,산내동,21020,10564,10456,785,750,1535,1398,1214,2612,979,864,1843,1088,1019,2107,1739,1768,3507,1875,1677,3552,2700,3164,5864
3014053500,대전광역시,중구,은행선화동,18080,9169,8911,723,733,1456,618,694,1312,1137,1320,2457,1629,1543,3172,1589,1281,2870,1501,1197,2698,1972,2143,4115
3014055000,대전광역시,중구,목동,17579,8392,9187,849,837,1686,1358,1436,2794,919,915,1834,963,1120,2083,1618,1857,3475,1472,1416,2888,1213,1606,2819
3014056000,대전광역시,중구,중촌동,13473,6536,6937,447,432,879,516,466,982,697,668,1365,921,830,1751,966,945,1911,1148,1189,2337,1841,2407,4248
3014057500,대전광역시,중구,대흥동,12792,6306,6486,330,261,591,499,479,978,1051,1260,2311,901,841,1742,907,891,1798,1042,882,1924,1576,1872,3448
3014060500,대전광역시,중구,문창동,4194,2145,2049,63,48,111,136,109,245,181,181,362,187,144,331,267,201,468,427,297,724,884,1069,1953
3014062000,대전광역시,중구,석교동,14335,7249,7086,237,205,442,453,440,893,758,597,1355,721,558,1279,909,735,1644,1307,1225,2532,2864,3326,6190
3014063000,대전광역시,중구,대사동,5219,2563,2656,73,50,123,145,94,239,396,517,913,343,271,614,285,222,507,419,376,795,902,1126,2028
3014064000,대전광역시,중구,부사동,6198,3130,3068,122,96,218,201,156,357,297,286,583,340,249,589,404,335,739,585,528,1113,1181,1418,2599
3014065500,대전광역시,중구,용두동,9871,4806,5065,249,280,529,340,361,701,800,901,1701,806,736,1542,707,663,1370,807,728,1535,1097,1396,2493
3014067000,대전광역시,중구,오류동,10077,4691,5386,249,257,506,317,343,660,595,682,1277,669,641,1310,612,652,1264,833,928,1761,1416,1883,3299
3014068000,대전광역시,중구,태평1동,12533,6024,6509,388,394,782,668,686,1354,690,618,1308,607,620,1227,983,1057,2040,1130,1177,2307,1558,1957,3515
3014069000,대전광역시,중구,태평2동,24065,11446,12619,670,629,1299,1352,1315,2667,1361,1214,2575,929,1008,1937,1604,1879,3483,2126,2358,4484,3404,4216,7620
3014070000,대전광역시,중구,유천1동,5760,2957,2803,119,99,218,133,123,256,337,290,627,400,313,713,440,332,772,549,472,1021,979,1174,2153
3014071000,대전광역시,중구,유천2동,12956,6387,6569,287,284,571,487,422,909,787,751,1538,731,647,1378,844,800,1644,1018,1041,2059,2233,2624,4857
3014072000,대전광역시,중구,문화1동,20580,9955,10625,690,609,1299,1317,1203,2520,1273,1226,2499,893,971,1864,1495,1726,3221,1785,1825,3610,2502,3065,5567
3014073000,대전광역시,중구,문화2동,11460,5514,5946,182,174,356,455,395,850,607,500,1107,657,501,1158,676,664,1340,1080,1119,2199,1857,2593,4450
3014074000,대전광역시,중구,산성동,25360,12872,12488,456,447,903,1025,909,1934,1434,1094,2528,1224,982,2206,1619,1515,3134,2531,2400,4931,4583,5141,9724
