행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,2024-01-31,대전광역시,동구,중앙동,3835,2165,1670,33,44,77,48,50,98,114,97,211,180,120,300,263,120,383,453,220,673,1074,1019,2093
3011053000,2024-01-31,대전광역시,동구,효동,22794,11151,11643,863,850,1713,1645,1563,3208,1226,1057,2283,1044,1037,2081,2049,2262,4311,1930,1859,3789,2394,3015,5409
3011054500,2024-01-31,대전광역시,동구,신인동,15267,7461,7806,674,636,1310,616,484,1100,686,681,1367,1225,1186,2411,1176,1068,2244,1118,1229,2347,1966,2522,4488
3011055100,2024-01-31,대전광역시,동구,판암1동,12067,5849,6218,350,298,648,445,406,851,675,578,1253,702,631,1333,783,757,1540,1026,1101,2127,1868,2447,4315
3011055200,2024-01-31,대전광역시,동구,판암2동,7961,3833,4128,98,88,186,148,158,306,329,270,599,363,275,638,479,338,817,687,634,1321,1729,2365,4094
3011056000,2024-01-31,대전광역시,동구,용운동,21290,10751,10539,783,714,1497,854,856,1710,1666,1475,3141,1487,1277,2764,1558,1463,3021,1841,1788,3629,2562,2966,5528
3011058500,2024-01-31,대전광역시,동구,대동,14057,7056,7001,562,534,1096,755,682,1437,824,703,1527,821,775,1596,1149,1110,2259,1176,1123,2299,1769,2073,3842
3011059000,2024-01-31,대전광역시,동구,자양동,10673,5671,5002,129,153,282,348,374,722,1671,1311,2982,586,390,976,645,441,1086,837,681,1518,1455,1651,3106
3011062000,2024-01-31,대전광역시,동구,가양1동,12829,6703,6126,268,272,540,511,498,1009,1021,750,1771,688,528,1216,948,815,1763,1202,974,2176,2065,2289,4354
3011063000,2024-01-31,대전광역시,동구,가양2동,18863,9450,9413,445,362,807,835,783,1618,1498,1499,2997,1185,900,2085,1299,1221,2520,1684,1642,3326,2504,3006,5510
3011064000,2024-01-31,대전광역시,동구,용전동,20203,10329,9874,432,422,854,676,680,1356,1919,1997,3916,1690,1200,2890,1532,1321,2853,1752,1563,3315,2328,2691,5019
3011066500,2024-01-31,대전광역시,동구,성남동,10969,5411,5558,375,315,690,374,410,784,610,515,1125,616,564,1180,796,730,1526,969,915,1884,1671,2109,3780
3011067000,2024-01-31,대전광역시,동구,홍도동,11229,5729,5500,253,211,464,385,352,737,1071,1035,2106,792,587,1379,799,630,1429,970,902,1872,1459,1783,3242
3011069500,2024-01-31,대전광역시,동구,삼성동,13192,6690,6502,291,269,560,551,513,1064,719,553,1272,646,548,1194,953,836,1789,1249,1097,2346,2281,2686,4967
3011072500,2024-01-31,대전광역시,동구,대청동,2248,1176,1072,18,24,42,49,57,106,88,66,154,82,41,123,112,68,180,249,177,426,578,639,1217
3011074000,2024-01-31,대전광역시,동구,산내동,19602,9858,9744,689,608,1297,1365,1200,2565,969,827,1796,837,801,1638,1620,1718,3338,1794,1564,3358,2584,3026,5610
