행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,110세이상 남자,110세이상 여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3011051500,2024-02-29,대전광역시,동구,중앙동,3816,2156,1660,0,0,31,45,76,45,51,96,113,95,208,177,120,297,263,119,382,452,218,670,1075,1012,2087
3011053000,2024-02-29,대전광역시,동구,효동,22726,11108,11618,0,0,849,840,1689,1632,1553,3185,1228,1045,2273,1029,1027,2056,2030,2250,4280,1940,1869,3809,2400,3034,5434
3011054500,2024-02-29,대전광역시,동구,신인동,15246,7438,7808,0,0,664,643,1307,617,481,1098,675,683,1358,1221,1181,2402,1166,1063,2229,1130,1228,2358,1965,2529,4494
3011055100,2024-02-29,대전광역시,동구,판암1동,12057,5837,6220,0,0,345,296,641,450,408,858,662,573,1235,695,628,1323,789,756,1545,1029,1105,2134,1867,2454,4321
3011055200,2024-02-29,대전광역시,동구,판암2동,8003,3856,4147,0,0,97,88,185,158,159,317,330,269,599,369,278,647,477,343,820,692,633,1325,1733,2377,4110
3011056000,2024-02-29,대전광역시,동구,용운동,21342,10778,10564,0,0,773,715,1488,867,873,1740,1676,1481,3157,1489,1279,2768,1555,1445,3000,1845,1794,3639,2573,2977,5550
3011058500,2024-02-29,대전광역시,동구,대동,13993,7033,6960,0,1,559,521,1080,763,684,1447,806,681,1487,813,770,1583,1148,1109,2257,1172,1125,2297,1772,2069,3841
3011059000,2024-02-29,대전광역시,동구,자양동,10775,5734,5041,0,1,125,150,275,372,476,848,1702,1262,2964,586,392,978,644,436,1080,843,683,1526,1462,1641,3103
3011062000,2024-02-29,대전광역시,동구,가양1동,12828,6711,6117,0,0,271,264,535,525,508,1033,1023,741,1764,677,524,1201,944,813,1757,1203,967,2170,2068,2300,4368
3011063000,2024-02-29,대전광역시,동구,가양2동,18819,9422,9397,0,0,442,361,803,836,808,1644,1487,1462,2949,1176,906,2082,1287,1215,2502,1687,1642,3329,2507,3003,5510
3011064000,2024-02-29,대전광역시,동구,용전동,20281,10389,9892,0,0,429,420,849,682,701,1383,1941,2008,3949,1693,1197,2890,1535,1312,2847,1756,1571,3327,2353,2683,5036
3011066500,2024-02-29,대전광역시,동구,성남동,10937,5394,5543,0,0,370,313,683,377,403,780,598,522,1120,615,548,1163,800,737,1537,963,909,1872,1671,2111,3782
3011067000,2024-02-29,대전광역시,동구,홍도동,11274,5742,5532,0,0,253,215,468,395,367,762,1072,1043,2115,793,588,1381,799,628,1427,974,907,1881,1456,1784,3240
3011069500,2024-02-29,대전광역시,동구,삼성동,13175,6679,6496,0,0,291,266,557,543,509,1052,717,563,1280,636,543,1179,945,825,1770,1251,1098,2349,2296,2692,4988
3011072500,2024-02-29,대전광역시,동구,대청동,2246,1178,1068,0,0,17,23,40,46,59,105,96,65,161,80,39,119,111,70,181,248,177,425,580,635,1215
3011074000,2024-02-29,대전광역시,동구,산내동,19506,9788,9718,0,0,676,602,1278,1345,1182,2527,960,833,1793,818,792,1610,1616,1703,3319,1786,1576,3362,2587,3030,5617
3014053500,2024-02-29,대전광역시,중구,은행선화동,14053,7198,6855,0,0,318,343,661,422,483,905,1048,1192,2240,1131,971,2102,1151,935,2086,1286,997,2283,1842,1934,3776
3014055000,2024-02-29,대전광역시,중구,목동,16810,8023,8787,0,0,806,802,1608,1322,1408,2730,918,889,1807,819,993,1812,1598,1840,3438,1425,1332,2757,1135,1523,2658
3014056000,2024-02-29,대전광역시,중구,중촌동,13764,6703,7061,0,1,450,451,901,556,517,1073,761,692,1453,932,837,1769,1018,988,2006,1171,1200,2371,1815,2375,4190
3014057500,2024-02-29,대전광역시,중구,대흥동,13093,6462,6631,0,0,358,281,639,525,480,1005,1063,1298,2361,930,865,1795,995,934,1929,1022,884,1906,1569,1889,3458
3014060500,2024-02-29,대전광역시,중구,문창동,4310,2229,2081,0,0,73,49,122,151,118,269,198,182,380,209,157,366,293,209,502,440,327,767,865,1039,1904
3014062000,2024-02-29,대전광역시,중구,석교동,14743,7439,7304,0,0,255,228,483,478,452,930,812,661,1473,734,581,1315,984,789,1773,1338,1282,2620,2838,3311,6149
3014063000,2024-02-29,대전광역시,중구,대사동,5337,2612,2725,0,0,76,49,125,154,105,259,463,536,999,307,277,584,304,238,542,422,405,827,886,1115,2001
3014064000,2024-02-29,대전광역시,중구,부사동,6394,3209,3185,0,0,133,108,241,199,164,363,336,338,674,362,271,633,426,354,780,596,544,1140,1157,1406,2563
3014065500,2024-02-29,대전광역시,중구,용두동,9087,4406,4681,0,0,176,204,380,287,350,637,777,891,1668,725,631,1356,624,586,1210,755,659,1414,1062,1360,2422
3014067000,2024-02-29,대전광역시,중구,오류동,10318,4814,5504,0,0,268,272,540,334,349,683,633,739,1372,661,656,1317,633,659,1292,872,967,1839,1413,1862,3275
3014068000,2024-02-29,대전광역시,중구,태평1동,12756,6122,6634,0,0,435,426,861,703,702,1405,698,653,1351,614,649,1263,1008,1078,2086,1156,1207,2363,1508,1919,3427
3014069000,2024-02-29,대전광역시,중구,태평2동,24484,11657,12827,0,1,702,681,1383,1392,1350,2742,1446,1254,2700,927,1014,1941,1658,1970,3628,2182,2380,4562,3350,4177,7527
3014070000,2024-02-29,대전광역시,중구,유천1동,5920,3044,2876,0,0,124,108,232,147,128,275,367,322,689,420,327,747,452,344,796,558,480,1038,976,1167,2143
3014071000,2024-02-29,대전광역시,중구,유천2동,13263,6540,6723,0,0,332,326,658,485,426,911,836,799,1635,732,693,1425,906,824,1730,1038,1067,2105,2211,2588,4799
3014072000,2024-02-29,대전광역시,중구,문화1동,20727,10036,10691,0,0,725,626,1351,1323,1222,2545,1333,1271,2604,887,993,1880,1544,1779,3323,1792,1820,3612,2432,2980,5412
