행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,위험도_점수,위험도,위험도7,예측_위험도
11110515,청운효자동,CS100001,한식음식점,-0.16561889460236773,1,4단계,1
11110515,청운효자동,CS100003,일식음식점,0.1956596567557451,2,6단계,2
11110515,청운효자동,CS100004,양식음식점,-0.31110093360899727,0,2단계,0
11110515,청운효자동,CS100005,제과점,-0.40432576902278666,0,1단계,0
11110515,청운효자동,CS100007,치킨전문점,-0.34703286204420913,0,2단계,0
11110515,청운효자동,CS100008,분식전문점,-0.33807167005543814,0,2단계,0
11110515,청운효자동,CS100009,호프-간이주점,-0.4095157365574647,0,1단계,0
11110515,청운효자동,CS100010,커피-음료,0.09782220982953642,2,5단계,2
11110515,청운효자동,CS200001,일반교습학원,-0.5745552010433449,0,1단계,0
11110515,청운효자동,CS200005,스포츠 강습,0.1105037338407188,2,5단계,2
11110515,청운효자동,CS200006,일반의원,-0.251354923572845,0,3단계,0
11110515,청운효자동,CS200026,자동차미용,-0.2405472124376571,1,3단계,1
11110515,청운효자동,CS200028,미용실,-0.4616244656607239,0,1단계,0
11110515,청운효자동,CS200030,피부관리실,1.6690344492683593,2,7단계,2
11110515,청운효자동,CS200031,세탁소,-0.20819445253547786,1,3단계,1
11110515,청운효자동,CS200032,가전제품수리,-0.2379534443917583,1,3단계,1
11110515,청운효자동,CS300001,슈퍼마켓,-0.007285153986503916,1,5단계,1
11110515,청운효자동,CS300002,편의점,0.46132098841166586,2,7단계,2
11110515,청운효자동,CS300006,미곡판매,-0.24192128269081753,0,3단계,0
11110515,청운효자동,CS300007,육류판매,-0.4072513242504398,0,1단계,0
11110515,청운효자동,CS300008,수산물판매,0.9682661717164829,2,7단계,2
11110515,청운효자동,CS300009,청과상,-0.46719213047843233,0,1단계,0
11110515,청운효자동,CS300010,반찬가게,-0.18252938892596204,1,4단계,1
11110515,청운효자동,CS300011,일반의류,-0.3213073856415906,0,2단계,1
11110515,청운효자동,CS300014,신발,-0.3619900296787776,0,2단계,0
