서비스_업종_코드,서비스_업종_코드_명
CS100001,한식음식점
CS100002,중식음식점
CS100003,일식음식점
CS100004,양식음식점
CS100005,제과점
CS100006,패스트푸드점
CS100007,치킨전문점
CS100008,분식전문점
CS100009,호프-간이주점
CS100010,커피-음료
CS200001,일반교습학원
CS200003,예술학원
CS200005,스포츠 강습
CS200006,일반의원
CS200007,치과의원
CS200026,자동차미용
CS200028,미용실
CS200030,피부관리실
CS200031,세탁소
CS200032,가전제품수리
CS300001,슈퍼마켓
CS300002,편의점
CS300006,미곡판매
CS300007,육류판매
CS300008,수산물판매
CS300009,청과상
CS300010,반찬가게
CS300011,일반의류
CS300014,신발
CS300017,시계및귀금속
CS300018,의약품
CS300020,서적
CS300021,문구
CS300027,섬유제품
CS300028,화초
CS300033,철물점
CS300035,인테리어
CS200008,한의원
CS200016,당구장
CS200024,스포츠클럽
CS200025,자동차수리
CS200029,네일숍
CS200034,여관
CS200037,노래방
CS300015,가방
CS300016,안경
CS300019,의료기기
CS300022,화장품
CS300043,전자상거래업
CS300004,핸드폰
CS300029,애완동물
CS200002,외국어학원
CS200017,골프연습장
CS200019,PC방
CS300003,컴퓨터및주변장치판매
CS300032,가전제품
CS300036,조명용품
CS300024,운동/경기용품
CS300031,가구
CS300025,자전거 및 기타운송장비
CS200033,부동산중개업
CS200036,고시원
CS300026,완구
